----------------------------------------------
*** WARNING ***
Don't use the item ID for anything "proper"!!
It's provided here for completeness's sake, it's different in every world.
----------------------------------------------
Mod name, Registry name, Item ID, Display name
----------------------------------------------
Minecraft, minecraft:acacia_boat, 902, Acacia Boat
Minecraft, minecraft:acacia_button, 309, Acacia Button
Minecraft, minecraft:acacia_door, 562, Acacia Door
Minecraft, minecraft:acacia_fence, 212, Acacia Fence
Minecraft, minecraft:acacia_fence_gate, 256, Acacia Fence Gate
Minecraft, minecraft:acacia_leaves, 73, Acacia Leaves
Minecraft, minecraft:acacia_log, 41, Acacia Log
Minecraft, minecraft:acacia_planks, 19, Acacia Planks
Minecraft, minecraft:acacia_pressure_plate, 195, Acacia Pressure Plate
Minecraft, minecraft:acacia_sapling, 27, Acacia Sapling
Minecraft, minecraft:acacia_sign, 656, Acacia Sign
Minecraft, minecraft:acacia_slab, 142, Acacia Slab
Minecraft, minecraft:acacia_stairs, 369, Acacia Stairs
Minecraft, minecraft:acacia_trapdoor, 230, Acacia Trapdoor
Minecraft, minecraft:acacia_wood, 65, Acacia Wood
Minecraft, minecraft:activator_rail, 329, Activator Rail
Minecraft, minecraft:air, 0, 
Minecraft, minecraft:allium, 114, Allium
Minecraft, minecraft:ancient_debris, 960, Ancient Debris
Minecraft, minecraft:andesite, 6, Andesite
Minecraft, minecraft:andesite_slab, 552, Andesite Slab
Minecraft, minecraft:andesite_stairs, 539, Andesite Stairs
Minecraft, minecraft:andesite_wall, 296, Andesite Wall
Minecraft, minecraft:anvil, 314, Anvil
Minecraft, minecraft:apple, 573, Apple
Minecraft, minecraft:armor_stand, 860, Armor Stand
Minecraft, minecraft:arrow, 575, Arrow
Minecraft, minecraft:azure_bluet, 115, Azure Bluet
Minecraft, minecraft:baked_potato, 832, Baked Potato
Minecraft, minecraft:bamboo, 135, Bamboo
Minecraft, minecraft:barrel, 936, Barrel
Minecraft, minecraft:barrier, 347, Barrier
Minecraft, minecraft:basalt, 221, Basalt
Minecraft, minecraft:bat_spawn_egg, 759, Bat Spawn Egg
Minecraft, minecraft:beacon, 286, Beacon
Minecraft, minecraft:bedrock, 29, Bedrock
Minecraft, minecraft:bee_nest, 953, Bee Nest
Minecraft, minecraft:bee_spawn_egg, 760, Bee Spawn Egg
Minecraft, minecraft:beef, 739, Raw Beef
Minecraft, minecraft:beehive, 954, Beehive
Minecraft, minecraft:beetroot, 889, Beetroot
Minecraft, minecraft:beetroot_seeds, 890, Beetroot Seeds
Minecraft, minecraft:beetroot_soup, 891, Beetroot Soup
Minecraft, minecraft:bell, 945, Bell
Minecraft, minecraft:birch_boat, 900, Birch Boat
Minecraft, minecraft:birch_button, 307, Birch Button
Minecraft, minecraft:birch_door, 560, Birch Door
Minecraft, minecraft:birch_fence, 210, Birch Fence
Minecraft, minecraft:birch_fence_gate, 254, Birch Fence Gate
Minecraft, minecraft:birch_leaves, 71, Birch Leaves
Minecraft, minecraft:birch_log, 39, Birch Log
Minecraft, minecraft:birch_planks, 17, Birch Planks
Minecraft, minecraft:birch_pressure_plate, 193, Birch Pressure Plate
Minecraft, minecraft:birch_sapling, 25, Birch Sapling
Minecraft, minecraft:birch_sign, 654, Birch Sign
Minecraft, minecraft:birch_slab, 140, Birch Slab
Minecraft, minecraft:birch_stairs, 281, Birch Stairs
Minecraft, minecraft:birch_trapdoor, 228, Birch Trapdoor
Minecraft, minecraft:birch_wood, 63, Birch Wood
Minecraft, minecraft:black_banner, 885, Black Banner
Minecraft, minecraft:black_bed, 731, Black Bed
Minecraft, minecraft:black_carpet, 365, Black Carpet
Minecraft, minecraft:black_concrete, 479, Black Concrete
Minecraft, minecraft:black_concrete_powder, 495, Black Concrete Powder
Minecraft, minecraft:black_dye, 711, Black Dye
Minecraft, minecraft:black_glazed_terracotta, 463, Black Glazed Terracotta
Minecraft, minecraft:black_shulker_box, 447, Black Shulker Box
Minecraft, minecraft:black_stained_glass, 394, Black Stained Glass
Minecraft, minecraft:black_stained_glass_pane, 410, Black Stained Glass Pane
Minecraft, minecraft:black_terracotta, 346, Black Terracotta
Minecraft, minecraft:black_wool, 110, Black Wool
Minecraft, minecraft:blackstone, 963, Blackstone
Minecraft, minecraft:blackstone_slab, 964, Blackstone Slab
Minecraft, minecraft:blackstone_stairs, 965, Blackstone Stairs
Minecraft, minecraft:blackstone_wall, 301, Blackstone Wall
Minecraft, minecraft:blast_furnace, 938, Blast Furnace
Minecraft, minecraft:blaze_powder, 753, Blaze Powder
Minecraft, minecraft:blaze_rod, 745, Blaze Rod
Minecraft, minecraft:blaze_spawn_egg, 761, Blaze Spawn Egg
Minecraft, minecraft:blue_banner, 881, Blue Banner
Minecraft, minecraft:blue_bed, 727, Blue Bed
Minecraft, minecraft:blue_carpet, 361, Blue Carpet
Minecraft, minecraft:blue_concrete, 475, Blue Concrete
Minecraft, minecraft:blue_concrete_powder, 491, Blue Concrete Powder
Minecraft, minecraft:blue_dye, 707, Blue Dye
Minecraft, minecraft:blue_glazed_terracotta, 459, Blue Glazed Terracotta
Minecraft, minecraft:blue_ice, 527, Blue Ice
Minecraft, minecraft:blue_orchid, 113, Blue Orchid
Minecraft, minecraft:blue_shulker_box, 443, Blue Shulker Box
Minecraft, minecraft:blue_stained_glass, 390, Blue Stained Glass
Minecraft, minecraft:blue_stained_glass_pane, 406, Blue Stained Glass Pane
Minecraft, minecraft:blue_terracotta, 342, Blue Terracotta
Minecraft, minecraft:blue_wool, 106, Blue Wool
Minecraft, minecraft:bone, 713, Bone
Minecraft, minecraft:bone_block, 428, Bone Block
Minecraft, minecraft:bone_meal, 712, Bone Meal
Minecraft, minecraft:book, 678, Book
Minecraft, minecraft:bookshelf, 168, Bookshelf
Minecraft, minecraft:bow, 574, Bow
Minecraft, minecraft:bowl, 614, Bowl
Minecraft, minecraft:brain_coral, 508, Brain Coral
Minecraft, minecraft:brain_coral_block, 503, Brain Coral Block
Minecraft, minecraft:brain_coral_fan, 518, Brain Coral Fan
Minecraft, minecraft:bread, 621, Bread
Minecraft, minecraft:brewing_stand, 755, Brewing Stand
Minecraft, minecraft:brick, 674, Brick
Minecraft, minecraft:brick_slab, 152, Brick Slab
Minecraft, minecraft:brick_stairs, 260, Brick Stairs
Minecraft, minecraft:brick_wall, 289, Brick Wall
Minecraft, minecraft:bricks, 166, Bricks
Minecraft, minecraft:brown_banner, 882, Brown Banner
Minecraft, minecraft:brown_bed, 728, Brown Bed
Minecraft, minecraft:brown_carpet, 362, Brown Carpet
Minecraft, minecraft:brown_concrete, 476, Brown Concrete
Minecraft, minecraft:brown_concrete_powder, 492, Brown Concrete Powder
Minecraft, minecraft:brown_dye, 708, Brown Dye
Minecraft, minecraft:brown_glazed_terracotta, 460, Brown Glazed Terracotta
Minecraft, minecraft:brown_mushroom, 124, Brown Mushroom
Minecraft, minecraft:brown_mushroom_block, 244, Brown Mushroom Block
Minecraft, minecraft:brown_shulker_box, 444, Brown Shulker Box
Minecraft, minecraft:brown_stained_glass, 391, Brown Stained Glass
Minecraft, minecraft:brown_stained_glass_pane, 407, Brown Stained Glass Pane
Minecraft, minecraft:brown_terracotta, 343, Brown Terracotta
Minecraft, minecraft:brown_wool, 107, Brown Wool
Minecraft, minecraft:bubble_coral, 509, Bubble Coral
Minecraft, minecraft:bubble_coral_block, 504, Bubble Coral Block
Minecraft, minecraft:bubble_coral_fan, 519, Bubble Coral Fan
Minecraft, minecraft:bucket, 660, Bucket
Minecraft, minecraft:cactus, 205, Cactus
Minecraft, minecraft:cake, 715, Cake
Minecraft, minecraft:campfire, 949, Campfire
Minecraft, minecraft:carrot, 830, Carrot
Minecraft, minecraft:carrot_on_a_stick, 842, Carrot on a Stick
Minecraft, minecraft:cartography_table, 939, Cartography Table
Minecraft, minecraft:carved_pumpkin, 217, Carved Pumpkin
Minecraft, minecraft:cat_spawn_egg, 762, Cat Spawn Egg
Minecraft, minecraft:cauldron, 756, Cauldron
Minecraft, minecraft:cave_spider_spawn_egg, 763, Cave Spider Spawn Egg
Minecraft, minecraft:chain, 248, Chain
Minecraft, minecraft:chain_command_block, 423, Chain Command Block
Minecraft, minecraft:chainmail_boots, 629, Chainmail Boots
Minecraft, minecraft:chainmail_chestplate, 627, Chainmail Chestplate
Minecraft, minecraft:chainmail_helmet, 626, Chainmail Helmet
Minecraft, minecraft:chainmail_leggings, 628, Chainmail Leggings
Minecraft, minecraft:charcoal, 577, Charcoal
Minecraft, minecraft:chest, 180, Chest
Minecraft, minecraft:chest_minecart, 680, Minecart with Chest
Minecraft, minecraft:chicken, 741, Raw Chicken
Minecraft, minecraft:chicken_spawn_egg, 764, Chicken Spawn Egg
Minecraft, minecraft:chipped_anvil, 315, Chipped Anvil
Minecraft, minecraft:chiseled_nether_bricks, 266, Chiseled Nether Bricks
Minecraft, minecraft:chiseled_polished_blackstone, 970, Chiseled Polished Blackstone
Minecraft, minecraft:chiseled_quartz_block, 324, Chiseled Quartz Block
Minecraft, minecraft:chiseled_red_sandstone, 419, Chiseled Red Sandstone
Minecraft, minecraft:chiseled_sandstone, 82, Chiseled Sandstone
Minecraft, minecraft:chiseled_stone_bricks, 243, Chiseled Stone Bricks
Minecraft, minecraft:chorus_flower, 174, Chorus Flower
Minecraft, minecraft:chorus_fruit, 887, Chorus Fruit
Minecraft, minecraft:chorus_plant, 173, Chorus Plant
Minecraft, minecraft:clay, 206, Clay
Minecraft, minecraft:clay_ball, 675, Clay Ball
Minecraft, minecraft:clock, 685, Clock
Minecraft, minecraft:coal, 576, Coal
Minecraft, minecraft:coal_block, 367, Block of Coal
Minecraft, minecraft:coal_ore, 35, Coal Ore
Minecraft, minecraft:coarse_dirt, 10, Coarse Dirt
Minecraft, minecraft:cobblestone, 14, Cobblestone
Minecraft, minecraft:cobblestone_slab, 151, Cobblestone Slab
Minecraft, minecraft:cobblestone_stairs, 188, Cobblestone Stairs
Minecraft, minecraft:cobblestone_wall, 287, Cobblestone Wall
Minecraft, minecraft:cobweb, 88, Cobweb
Minecraft, minecraft:cocoa_beans, 694, Cocoa Beans
Minecraft, minecraft:cod, 687, Raw Cod
Minecraft, minecraft:cod_bucket, 672, Bucket of Cod
Minecraft, minecraft:cod_spawn_egg, 765, Cod Spawn Egg
Minecraft, minecraft:command_block, 285, Command Block
